City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
410,rouyn-noranda,48.2398,-79.0288,-12.95,78,100,2.57,CA,2024-01-07
411,alofi,-19.0595,-169.9187,28.94,79,40,6.17,NU,2024-01-07
412,kedrovyy,56.1667,91.8167,-9.77,95,100,2.98,RU,2024-01-07
413,hithadhoo,-0.6,73.0833,28.28,75,96,7.14,MV,2024-01-07
414,shendi,16.6915,33.4341,19.3,30,16,3.63,SD,2024-01-07
415,hamilton,39.1834,-84.5333,2.47,93,100,2.24,US,2024-01-07
416,togur,58.3631,82.8265,-28.25,100,21,1.79,RU,2024-01-07
417,sao miguel do araguaia,-13.275,-50.1628,21.72,96,72,1.14,BR,2024-01-07
418,alva,56.1528,-3.8051,3.23,86,19,1.03,GB,2024-01-07
419,nadym,65.5333,72.5167,-20.31,93,99,3.33,RU,2024-01-07
420,susuman,62.7833,148.1667,-37.03,100,99,0.27,RU,2024-01-07
421,charef,34.621,2.795,1.57,81,66,8.48,DZ,2024-01-07
422,galle,6.0367,80.217,28.14,72,49,0.06,LK,2024-01-07
423,al jawf,29.5,38.75,10.75,60,0,4.06,SA,2024-01-07
424,kismayo,-0.3582,42.5454,27.86,73,14,7.86,SO,2024-01-07
425,rapla,59.0072,24.7928,-18.16,98,83,1.1,EE,2024-01-07
426,rongelap,11.1635,166.8941,27.17,66,100,8.09,MH,2024-01-07
427,pasighat,28.0667,95.3333,22.51,27,1,1.94,IN,2024-01-07
428,tateyama,34.9833,139.8667,12.83,47,55,3.61,JP,2024-01-07
429,port saint john's,-31.6229,29.5448,23.04,76,98,2.74,ZA,2024-01-07
430,tot'ma,59.9747,42.7642,-27.29,98,30,1.63,RU,2024-01-07
431,neelankarai,12.9455,80.2575,26.03,83,75,1.03,IN,2024-01-07
432,amga,60.8953,131.9608,-39.25,99,86,0.14,RU,2024-01-07
433,calama,-22.4667,-68.9333,11.27,35,0,4.63,CL,2024-01-07
434,orchard homes,46.8633,-114.0484,0.08,85,100,1.79,US,2024-01-07
435,fort bragg,35.139,-79.006,9.91,88,75,3.09,US,2024-01-07
436,luanda,-8.8368,13.2343,25.0,2,100,0.51,AO,2024-01-07
437,belmonte,-15.8631,-38.8828,25.39,93,99,1.82,BR,2024-01-07
438,beytussebap,37.5694,43.1681,-0.51,42,2,2.82,TR,2024-01-07
439,denia,38.8408,0.1057,11.58,45,1,5.36,ES,2024-01-07
440,port-gentil,-0.7193,8.7815,27.38,75,99,4.1,GA,2024-01-07
441,nabire,-3.3667,135.4833,30.08,70,81,2.24,ID,2024-01-07
442,upington,-28.4478,21.2561,21.21,52,0,3.09,ZA,2024-01-07
443,coahuayana de hidalgo,18.7,-103.6583,22.12,84,54,1.57,MX,2024-01-07
444,lamu,-2.2717,40.902,26.12,77,92,4.58,KE,2024-01-07
445,kataba,13.9833,44.3833,13.48,47,4,1.16,YE,2024-01-07
446,la sarre,48.8002,-79.1996,-11.49,91,100,3.31,CA,2024-01-07
447,hotan,37.0997,79.9269,1.06,36,33,0.47,CN,2024-01-07
448,oued fodda,36.185,1.533,5.81,87,40,3.09,DZ,2024-01-07
449,ancud,-41.8697,-73.8203,13.2,80,89,1.42,CL,2024-01-07
450,kaiapoi,-43.3783,172.6401,23.17,58,71,6.69,NZ,2024-01-07
451,guarapari,-20.6667,-40.4975,24.94,91,92,2.68,BR,2024-01-07
452,jiaojiang,28.6803,121.4428,14.44,50,1,4.9,CN,2024-01-07
453,wenchang,30.904,118.4887,9.17,54,2,4.47,CN,2024-01-07
454,hardoi,27.4167,80.1167,17.07,59,0,1.29,IN,2024-01-07
455,agios nikolaos,35.1914,25.7133,19.31,62,3,5.87,GR,2024-01-07
456,puerto lempira,15.2667,-83.7667,23.5,91,6,2.71,HN,2024-01-07
457,ribeira brava,32.65,-17.0667,21.11,94,96,3.24,PT,2024-01-07
458,jianshui,23.6363,102.8264,19.54,53,58,4.12,CN,2024-01-07
459,el calafate,-50.3408,-72.2768,9.88,68,98,3.21,AR,2024-01-07
460,gadzhiyevo,69.2551,33.3362,-6.39,83,98,6.59,RU,2024-01-07
461,rio grande,-32.035,-52.0986,23.3,89,88,5.99,BR,2024-01-07
462,guaraniacu,-25.1008,-52.8781,18.64,78,45,1.01,BR,2024-01-07
463,taro,-8.3862,115.28,27.0,64,98,1.22,ID,2024-01-07
464,guozhen,34.3659,107.359,6.25,36,48,2.01,CN,2024-01-07
465,ban su-ngai pa di,6.0724,101.8717,28.77,90,100,1.78,TH,2024-01-07
466,vicuna mackenna,-33.9197,-64.3922,19.94,94,20,3.06,AR,2024-01-07
467,kourou,5.1552,-52.6478,23.03,83,100,2.8,GF,2024-01-07
468,kaseda-shirakame,31.4167,130.3167,10.58,63,98,10.47,JP,2024-01-07
469,kenosha,42.5667,-88.0501,0.82,90,100,1.95,US,2024-01-07
470,nacala,-14.5428,40.6728,26.62,94,75,3.09,MZ,2024-01-07
471,dickinson,29.4608,-95.0513,12.06,87,75,2.57,US,2024-01-07
472,kem',64.9555,34.5793,-16.49,91,28,5.14,RU,2024-01-07
473,garbsen-mitte,52.4266,9.6038,-0.55,92,100,6.17,DE,2024-01-07
474,fukuecho,32.6881,128.8419,9.2,53,75,6.69,JP,2024-01-07
475,ciudad bolivar,8.1222,-63.5497,25.38,73,13,5.07,VE,2024-01-07
476,chengdu,30.6667,104.0667,12.46,62,40,1.0,CN,2024-01-07
